global_wiring_id,component,component_label,local_grid_id,row,col,u,v,center_x,center_y,center_z,cell_size_xy,source_quad_id,source_region,source_palm_grid_id,source_row,source_col,c0_x,c0_y,c0_z,c0_source_quad_id,c0_source_region,c1_x,c1_y,c1_z,c1_source_quad_id,c1_source_region,c2_x,c2_y,c2_z,c2_source_quad_id,c2_source_region,c3_x,c3_y,c3_z,c3_source_quad_id,c3_source_region
435,index,??,10,3,1,0.5,0.3,2.853209259203378,6.256446353647522,0.9374931431241496,0.18906326554038308,1052,index,,,,2.7343941218472843,6.195164852985012,0.9323302746657346,1125,index,2.9144907598658882,6.137631216291429,0.9147418731144744,1050,index,2.9720243965594717,6.317727854310034,0.9250198894626509,1049,index,2.7919277585408677,6.3752614910036165,0.9381275193835427,1126,index
436,index,??,11,3,2,1.0,0.3,3.0333058972219824,6.19891271695394,0.8754080628730156,0.18906326554038308,1051,index,,,,2.9144907598658882,6.137631216291429,0.9147418731144744,1050,index,3.094587397884492,6.080097579597846,0.7953590939233516,942,index,3.1521210345780757,6.2601942176164505,0.8005949837313422,942,index,2.9720243965594717,6.317727854310034,0.9250198894626509,1049,index
437,index,??,12,4,0,0.0,0.4,2.7306462578783566,6.49407662835971,0.9182274174492855,0.18906326554038308,1124,index,,,,2.611831120522263,6.432795127697199,0.8465858119270595,1121,index,2.791927758540867,6.375261491003616,0.9381275193835423,1126,index,2.84946139523445,6.55535812902222,0.9603969460872349,1127,index,2.669364757215846,6.612891765715803,0.8661028432490341,1194,index
438,index,??,13,4,1,0.5,0.4,2.910742895896961,6.436542991666126,0.9527699389014422,0.18906326554038308,1128,index,,,,2.791927758540867,6.375261491003616,0.9381275193835423,1126,index,2.9720243965594713,6.317727854310033,0.9250198894626509,1049,index,3.0295580332530543,6.497824492328637,0.9454941919508687,6883,index,2.8494613952344503,6.55535812902222,0.9603969460872351,1127,index
439,index,??,14,4,2,1.0,0.4,3.090839533915565,6.379009354972544,0.8900873707389156,0.18906326554038308,1047,index,,,,2.9720243965594713,6.317727854310033,0.9250198894626509,1049,index,3.1521210345780757,6.26019421761645,0.8005949837313417,942,index,3.2096546712716583,6.4402908556350535,0.823258530087116,1048,index,3.0295580332530543,6.497824492328637,0.9454941919508687,6883,index
440,index,??,15,5,0,0.0,0.5,2.7881798945719396,6.674173266378315,0.9426576415789684,0.18906326554038308,1191,index,,,,2.669364757215846,6.612891765715803,0.8661028432490341,1194,index,2.84946139523445,6.55535812902222,0.9603969460872349,1127,index,2.9069950319280333,6.7354547670408245,0.989698303444577,1188,index,2.7268983939094293,6.792988403734408,0.8886312079600509,1190,index
441,index,??,16,5,1,0.5,0.5,2.968276532590544,6.616639629684731,0.9773904343990161,0.18906326554038308,1129,index,,,,2.8494613952344503,6.55535812902222,0.9603969460872351,1127,index,3.0295580332530543,6.497824492328637,0.9454941919508687,6883,index,3.0870916699466378,6.677921130347242,0.9749860335339773,1132,index,2.9069950319280338,6.7354547670408245,0.9896983034445773,1188,index
442,index,??,17,5,2,1.0,0.5,3.1483731706091485,6.559105992991149,0.9151426118242663,0.18906326554038308,1046,index,,,,3.0295580332530543,6.497824492328637,0.9454941919508687,6883,index,3.2096546712716583,6.4402908556350535,0.823258530087116,1048,index,3.2671883079652417,6.620387493653658,0.8504298640089284,1044,index,3.0870916699466378,6.677921130347242,0.9749860335339773,1132,index
443,index,??,18,6,0,0.0,0.6,2.8457135312655226,6.854269904396919,0.9767617942997674,0.18906326554038308,1187,index,,,,2.726898393909429,6.792988403734407,0.8886312079600506,1190,index,2.906995031928033,6.735454767040824,0.9896983034445768,1188,index,2.964528668621616,6.9155514050594284,1.0294618494039225,1188,index,2.784432030603012,6.973085041753012,0.9215308809516259,1189,index
444,index,??,19,6,1,0.5,0.6,3.025810169284127,6.796736267703335,1.0127065635115668,0.18906326554038308,1130,index,,,,2.906995031928033,6.735454767040824,0.9896983034445768,1188,index,3.0870916699466373,6.677921130347241,0.9749860335339772,1132,index,3.1446253066402203,6.858017768365846,1.0166235657244744,1132,index,2.9645286686216163,6.9155514050594284,1.0294618494039227,1188,index
445,index,??,20,6,2,1.0,0.6,3.205906807302731,6.739202631009753,0.9502056826676181,0.18906326554038308,6882,index,,,,3.0870916699466373,6.677921130347241,0.9749860335339772,1132,index,3.2671883079652417,6.6203874936536575,0.8504298640089278,1044,index,3.3247219446588243,6.800484131672262,0.8900693975060447,1043,index,3.1446253066402203,6.858017768365846,1.0166235657244744,1132,index
446,index,??,21,7,0,0.0,0.7,2.9032471679591056,7.034366542415523,1.0116043643174175,0.18906326554038308,1186,index,,,,2.784432030603012,6.973085041753012,0.9215308809516259,1189,index,2.964528668621616,6.9155514050594284,1.0294618494039225,1188,index,3.0220623053151994,7.095648043078033,1.0647017712740152,1184,index,2.8419656672965954,7.153181679771617,0.9563959200589288,1976,index
447,index,??,22,7,1,0.5,0.7,3.08334380597771,6.976832905721939,1.0508675448378617,0.18906326554038308,1185,index,,,,2.9645286686216163,6.9155514050594284,1.0294618494039227,1188,index,3.1446253066402203,6.858017768365846,1.0166235657244744,1132,index,3.202158943333804,7.038114406384451,1.051748123330453,1133,index,3.0220623053152,7.095648043078033,1.0647017712740154,1184,index
448,index,??,23,7,2,1.0,0.7,3.2634404439963145,6.919299269028357,0.9892376735626682,0.18906326554038308,1137,index,,,,3.1446253066402203,6.858017768365846,1.0166235657244744,1132,index,3.3247219446588243,6.800484131672262,0.8900693975060447,1043,index,3.382255581352408,6.980580769690867,0.9236924597600112,6881,index,3.202158943333804,7.038114406384451,1.051748123330453,1133,index
449,index,??,24,8,0,0.0,0.8,2.9607808046526887,7.214463180434127,1.0457766826346908,0.18906326554038308,1974,index,,,,2.841965667296595,7.153181679771616,0.9563959200589285,1976,index,3.022062305315199,7.095648043078032,1.064701771274015,1184,index,3.079595942008782,7.275744681096637,1.0986238257497163,1971,index,2.899499303990178,7.333278317790221,0.9781180548713582,1975,index
450,index,??,25,8,1,0.5,0.8,3.140877442671293,7.156929543740543,1.0844936716222895,0.18906326554038308,1181,index,,,,3.022062305315199,7.095648043078032,1.064701771274015,1184,index,3.2021589433338034,7.03811440638445,1.0517481233304529,1133,index,3.2596925800273864,7.218211044403055,1.081811418242742,1179,index,3.0795959420087824,7.275744681096637,1.0986238257497165,1971,index
451,index,??,26,8,2,1.0,0.8,3.320974080689897,7.0993959070469606,1.0205376909861512,0.18906326554038308,1138,index,,,,3.2021589433338034,7.03811440638445,1.0517481233304529,1133,index,3.382255581352408,6.980580769690866,0.9236924597600107,6881,index,3.4397892180459904,7.160677407709471,0.9459984538406367,1140,index,3.2596925800273864,7.218211044403055,1.081811418242742,1179,index
452,index,??,27,9,0,0.0,0.9,3.0183144413462717,7.3945598184527315,1.071362578650087,0.18906326554038308,1970,index,,,,2.899499303990178,7.333278317790221,0.9781180548713582,1975,index,3.079595942008782,7.275744681096637,1.0986238257497163,1971,index,3.1371295787023654,7.455841319115241,1.1161813981297586,1967,index,2.9570329406837614,7.513374955808825,0.9899778588037931,2510,index
453,index,??,28,9,1,0.5,0.9,3.198411079364876,7.337026181759148,1.1104697734596964,0.18906326554038308,1180,index,,,,3.0795959420087824,7.275744681096637,1.0986238257497165,1971,index,3.2596925800273864,7.218211044403055,1.081811418242742,1179,index,3.31722621672097,7.398307682421659,1.102203519482653,1175,index,3.137129578702366,7.455841319115241,1.1161813981297586,1967,index
454,index,??,29,9,2,1.0,0.9,3.3785077173834805,7.279492545065565,1.0453840498305669,0.18906326554038308,1139,index,,,,3.2596925800273864,7.218211044403055,1.081811418242742,1179,index,3.4397892180459904,7.160677407709471,0.9459984538406367,1140,index,3.497322854739574,7.340774045728075,0.9581424302537276,1144,index,3.31722621672097,7.398307682421659,1.102203519482653,1175,index
455,index,??,30,10,0,0.0,1.0,3.0758480780398547,7.574656456471336,1.0865713038407327,0.18906326554038308,1969,index,,,,2.9570329406837614,7.513374955808825,0.9899778588037931,2510,index,3.1371295787023654,7.455841319115241,1.1161813981297586,1967,index,3.1946632153959484,7.635937957133846,1.1074979640189788,1961,index,3.0145665773773445,7.69347159382743,0.9687383886591076,2511,index
456,index,??,31,10,1,0.5,1.0,3.255944716058459,7.517122819777753,1.1257449754084121,0.18906326554038308,1968,index,,,,3.137129578702366,7.455841319115241,1.1161813981297586,1967,index,3.31722621672097,7.398307682421659,1.102203519482653,1175,index,3.374759853414553,7.578404320440264,1.0989031002169896,1174,index,3.1946632153959484,7.635937957133846,1.1074979640189788,1961,index
457,index,??,32,10,2,1.0,1.0,3.436041354077063,7.45958918308417,1.056104645069078,0.18906326554038308,1176,index,,,,3.31722621672097,7.398307682421659,1.102203519482653,1175,index,3.497322854739574,7.340774045728075,0.9581424302537276,1144,index,3.5548564914331573,7.52087068374668,0.920662420414005,1145,index,3.374759853414553,7.578404320440264,1.0989031002169896,1174,index
